SR_NO,COMPANY_NAME,EXPERIENCE,FUNCTION,INDUSTRY,JOB_DESCRIPTION,JOB_LOCATION,JOB_TITLE,AVERAGE_PACKAGE,ROLES,SKILLS
0,Biz Industries,0-2 years,Construction,Construction & Engineering,"Civil Design Engineer Call & Whatsapp HR Pratik Sir - ( 8826072791)Civil Design EngineerWork for local clients to deliver project requirements per client standards.Work collaboratively and effectively with engineers and designers in our department to support project requirements.Strong problem solving ability, attention to detail and ability to learn on the job is a must for the candidate.Candidate must be able to follow project schedule and prioritize work as needed to reach project end goal in a timely manner. Candidate must be able to learn on own as well as learn via department mentoring.Civil Design EngineerCall & Whatsapp HR Pratik Sir - ( 8826072791)Civil Design Engineer",Hyderabad / Secunderabad,Civil Design Engineer For Freshers,150000 - 250000 INR,Civil Engineer,Civil Design Engineering
1,Biz Industries,0-2 years,"IT, IT- Hardware, Telecom, Technical Staff, Support","IT, Computers - Hardware & Networking, IT, Computers - Software",Desktop Support Engineer Call & Whatsapp HR Satya Sir - (9102882937)Desktop Support EngineerPrimary day to day duties will include the following (but not limited):Remote support of customer technical issues1st line technical support to provide analysis of customer issuesTo provide customer training and familiarizationInstallation of software patchesRemote diagnostics of hardware and software issuesDesktop Support EngineerCall & Whatsapp HR Satya Sir - (9102882937)Desktop Support Engineer,Kolkata,Desktop Support Engineer For Freshers,150000 - 250000 INR,"Hardware Design Technical Leader, Other Software, Hardware, EDP","Desktop Support Engineer, Desktop Engineer, Technical Support Engineer, Customer Support Engineer"
2,Biz Industries,0-2 years,"Engineering - Mechanical, Automotive, Industrial",Engineering & Design,Mechanical Design EngineerCall & Whatsapp HR Satya Sir - (9102882937)Mechanical Design EngineerLearns about predicate product designs including historical design challenges and testing resultsDesign prototype and debug solutions.Work with electrical and software engineers to understand product requirements/design inputs.Supports technical troubleshooting of testing issues or field related complaintsDemonstrates understanding of DFM/DFA requirements (design for manufacturing/assembly)Mechanical Design EngineerCall & Whatsapp HR Satya Sir - (9102882937)Mechanical Design Engineer,Bengaluru / Bangalore,Mechanical Design Engineer For Freshers,150000 - 250000 INR,Mechanical Engineer,Mechanical Design Engineer
3,Biz Industries,0-2 years,"Customer Service, Call Centre, BPO","ITES, BPO","HR Recruiter Call & Whatsapp HR Satya Sir - (9102882937)HR RecruiterManage the recruitment cycle: sourcing, screenings, interviews, negotiation, and reference checksIdentify, source and maintain a pipeline of candidates through a variety of platforms: social media, job boards, networking, headhunting, etc.Creatively build new recruitment strategies capable of attracting top talentsComplete weekly status reportsWork closely with clients to establish and maintain strong relationshipsParticipate in internal company initiatives such as social media campaigns, etc.HR RecruiterCall & Whatsapp HR Satya Sir - (9102882937)HR Recruiter",Kolkata,HR Recruiter Job For Freshers,150000 - 250000 INR,"Customer Service Executive (Non-voice), Customer Service Executive (Voice)","Hr Recruiter, Human Resource, Hr Executive, Recruitment"
4,Biz Industries,0-2 years,"Customer Service, Call Centre, BPO","ITES, BPO","Computer OperatorCall & Whatsapp HR Shubham Sir - (9352743030)Computer OperatorTo provide Helpdesk Support at the Banks Data Centre which runs multi-platform systems on IBM Mainframe, AS400, UNIX and Windows NT.Monitor operational status of software and hardware, including operating systems, application systems, ATM and Network equipment.Monitor job scheduling of various application software systems.Maintain Incident Logs for problems occurred.Perform job submission, back up, recovery and restart in accordance with SOP.Perform First Level system and batch problem determination and resolution.Computer OperatorCall & Whatsapp HR Shubham Sir - (9352743030)Computer Operator",Pune,Computer Operator Job For Freshers,150000 - 250000 INR,"Customer Service Executive (Non-voice), Customer Service Executive (Voice)","Data Entry Operator, Data Entry, Office Assistant, Back Office Executive, Computer Operator, Receptionist"
5,Biz Industries,0-2 years,"Fashion, Apparels","Fashion, Apparels",Fashion DesignerCall & Whatsapp HR Yogesh Sir - (7617551414)Fashion DesignerManage Design from Concept to ProductionWork according to brand briefs base on the needs and guidelines.Design apparels (drawing: by hand or CAD)Put together a mood board with key images and words that characterize the essence of the themes and ideas.Proper documentation of all design filesMaterial sourcing when required.Take charge of photoshoots.Fashion DesignerCall & Whatsapp HR Yogesh Sir - (7617551414)Fashion Designer,Mumbai,Fashion Designer Job For Freshers,150000 - 250000 INR,"Head, VP, GM - Fashion, Apparels","Fashion Designer, Apparels, Textiles, Model, Clothing, Fabric, Accessories, Garment"
6,Biz Industries,0-2 years,Construction,Construction & Engineering,"Civil Engineer (Building) Call & Whatsapp HR Yogesh Sir - (7617551414)Civil Engineer (Building)In charge of Co-ordinator work / Civil Engineer / Site Engineer / DrafterContribute the work of a MOS, RA, SWP, application of hot permit, preparation of shop drawings and submittal and perform other related tasks that may be assigned from time to timePrepare and update the status of your accomplishments and report directly to the boss and your PM / PIC.To co-ordinate and liaise with relevant parties and responding to all emailing.Attend Co-ordination and Progress meeting on-site with relevant parties (as and when necessary).Proficient in Microsoft Office, internet explorer or other application programs (E-mail)A Multi-tasker and assist other ad-hoc works as and when necessaryResolve all kinds of problems on-site and office. Supervise team for continuous improvement as well as work performance.Follow the Company rules and regulations at all times.Civil Engineer (Building)Call & Whatsapp HR Yogesh Sir - (7617551414)Civil Engineer (Building)",Bengaluru / Bangalore,Civil Engineer (Building) For Freshers,150000 - 250000 INR,Civil Engineer,Civil Engineer (Building)
7,Biz Industries,0-2 years,"Engineering - Mechanical, Automotive, Industrial",Engineering & Design,"Mechanical Technician EngineerCall & Whatsapp HR Shubham Sir - (9352743030)Mechanical Technician EngineerAssemble and install mechanical systems for industrial and manufacturing purposesImplement cost-effective changes in equipment design to improve reliability and safetyAssist mechanical engineers in developing, building and maintaining machines and toolsRead and interpret engineering designs, plans, and diagrams for piping, transmission.Prepare cost and material estimates for a projectTest and analyze machines, tools, and components to determine their performance, strength and response to stressMechanical Technician EngineerCall & Whatsapp HR Shubham Sir - (9352743030)Mechanical Technician Engineer",Mumbai,Mechanical Technician Engineer For Freshers,150000 - 250000 INR,Mechanical Engineer,Mechanical Technician Engineer
8,Biz Industries,0-2 years,Construction,Construction & Engineering,"Civil Design EngineerCall & Whatsapp HR Shubham Sir - (9352743030)Civil Design Engineer(a) Preparation of Scope of Civil and Structural works(b) Preparation of Preliminary bill of quantities.(c) Preparation of Bidding document for Civil, structural and building works(d) Preparation of technical bid evaluation(e) Preparation of detail engineering drawings including design calculation for all civil, structural and building related works- such as piling, foundation, steel structures, pits, road, drains etc.,(f) Preparation design and drawings for Process Plant structuresLiaise with consultants, clients and contractors.Work closely with field staff to ensure execution of workCivil Design EngineerCall & Whatsapp HR Shubham Sir - (9352743030)Civil Design Engineer",Bengaluru / Bangalore,Civil Design Engineer For Freshers,150000 - 250000 INR,Civil Engineer,Civil Design Engineering
9,Biz Industries,0-2 years,Finance & Accounts,"Banking, Accounting, Financial Services",Account AssistantCall & Whatsapp HR Shubham Sir - (9352743030)Account AssistantGenerate AR reportsWage calculationOther accounts related and ad-hoc admin duties as assigned.Answering phone callMin 2 years of accounting working experienceAble to communicate in English and Mandarin (in order to liaise with Mandarin speaking associates)Able to work as a team or independently and under pressure.Able to start work within short notice.Account AssistantCall & Whatsapp HR Shubham Sir - (9352743030)Account Assistant,Noida,Account Assistant Job For Freshers,150000 - 250000 INR,Accountant,"Account Assistant, Account Executive, Accountant, Secretary"
