LOCATION_SCORE,INDUSTRY_SCORE,COMPANY_SCORE,AVERAGE_SALARY
4,3,1,200000
4,3,1,200000
4,3,1,200000
5,3,1,200000
1,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
4,3,1,315000
5,3,1,200000
5,3,1,175000
4,3,1,200000
5,3,1,200000
5,3,1,200000
4,3,1,200000
4,3,1,200000
5,3,1,200000
4,3,1,200000
5,3,1,200000
4,3,1,200000
5,3,1,200000
5,3,1,200000
4,3,1,200000
5,3,1,200000
4,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
1,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
4,3,1,200000
5,3,1,200000
5,3,1,275000
4,3,1,200000
5,3,1,180000
4,3,1,200000
5,3,1,200000
5,3,1,200000
4,3,1,200000
5,3,1,200000
5,3,1,200000
4,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
1,3,1,175000
4,3,1,200000
5,3,1,200000
5,3,1,200000
4,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
4,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
1,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
4,3,1,200000
1,3,1,200000
4,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
4,3,1,200000
5,3,1,315000
1,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,315000
3,3,1,175000
5,3,1,200000
5,3,1,200000
4,3,1,200000
4,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,150000
4,3,1,200000
5,3,1,200000
1,3,1,759999.5
5,3,1,200000
4,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
5,3,1,200000
1,3,1,560000
