state name,district name,university name,college name
andhra pradesh,prakasam,acharya nagarjuna university,aazad college of education 
andhra pradesh,prakasam,acharya nagarjuna university,abhinav institute of management & technology 
andhra pradesh,guntur,acharya nagarjuna university,abhyudaya mahila degree college 
andhra pradesh,prakasam,acharya nagarjuna university,a.b.m. college 
andhra pradesh,prakasam,acharya nagarjuna university,a.b.r college of education 
andhra pradesh,guntur,acharya nagarjuna university,a.c.college 
andhra pradesh,guntur,acharya nagarjuna university,a.c.college of law 
andhra pradesh,guntur,acharya nagarjuna university,a.c.evening college 
andhra pradesh,guntur,acharya nagarjuna university,acharya n.g.ranga college of education 
andhra pradesh,prakasam,acharya nagarjuna university,adarsa college of education 
andhra pradesh,guntur,acharya nagarjuna university,adarsa degree college for women 
andhra pradesh,guntur,acharya nagarjuna university,a.g.k.m.college 
andhra pradesh,guntur,acharya nagarjuna university,a.l.college of education 
andhra pradesh,guntur,acharya nagarjuna university,ali college of education 
andhra pradesh,prakasam,acharya nagarjuna university,al momin college of education 
andhra pradesh,prakasam,acharya nagarjuna university,alpha college of education 
andhra pradesh,prakasam,acharya nagarjuna university,alpha college of education
andhra pradesh,prakasam,acharya nagarjuna university,alpha degree college 
andhra pradesh,guntur,acharya nagarjuna university,aman showkath b.ed college 
andhra pradesh,guntur,acharya nagarjuna university,a.m.g.college of education 
andhra pradesh,guntur,acharya nagarjuna university,a.m.g.degree college for women 
andhra pradesh,guntur,acharya nagarjuna university,a.m reddy college of education 
andhra pradesh,guntur,acharya nagarjuna university,a.m. reddy memorial college of pharmacy 
andhra pradesh,prakasam,acharya nagarjuna university,amrutha college of education 
andhra pradesh,prakasam,acharya nagarjuna university,amrutha degree college 
andhra pradesh,prakasam,acharya nagarjuna university,andhra kesari college of education 
andhra pradesh,prakasam,acharya nagarjuna university,andhra kesari vidya kendram degree college 
andhra pradesh,guntur,acharya nagarjuna university,andhra muslim college 
andhra pradesh,guntur,acharya nagarjuna university,andhra muslim college of education 
andhra pradesh,guntur,acharya nagarjuna university,anitha venkateswara college of eduation 
andhra pradesh,guntur,acharya nagarjuna university,annabattuni satyanarayana degree college 
andhra pradesh,prakasam,acharya nagarjuna university,anniebesant college of education 
andhra pradesh,prakasam,acharya nagarjuna university,anu pg campus ongole 
andhra pradesh,guntur,acharya nagarjuna university,a.p.residential degree college 
andhra pradesh,prakasam,acharya nagarjuna university,asha college of education 
andhra pradesh,guntur,acharya nagarjuna university,a.s.m & a.w. d women's degree college 
andhra pradesh,guntur,acharya nagarjuna university,a.s.n pharmacy college
andhra pradesh,prakasam,acharya nagarjuna university,b.a & k.r college of education 
andhra pradesh,prakasam,acharya nagarjuna university,b.a & k.r degree college 
andhra pradesh,guntur,acharya nagarjuna university,balaji degree college 
andhra pradesh,guntur,acharya nagarjuna university,bapatla college of arts & science 
andhra pradesh,guntur,acharya nagarjuna university,bapatla engineering college 
andhra pradesh,guntur,acharya nagarjuna university,bapatla womens engineering college 
andhra pradesh,guntur,acharya nagarjuna university,bapuji college of education 
andhra pradesh,prakasam,acharya nagarjuna university,b.b.h degree college 
andhra pradesh,guntur,acharya nagarjuna university,b.g degree college
andhra pradesh,prakasam,acharya nagarjuna university,bharathi degree college 
andhra pradesh,guntur,acharya nagarjuna university,bhashyam college of education 
andhra pradesh,guntur,acharya nagarjuna university,b.h.h degree college for women 
andhra pradesh,prakasam,acharya nagarjuna university,b.m.degree college
andhra pradesh,prakasam,acharya nagarjuna university,bmrm jhansi b.ed college 
andhra pradesh,guntur,acharya nagarjuna university,b.r college of education 
andhra pradesh,guntur,acharya nagarjuna university,b.s.s.b college 
andhra pradesh,prakasam,acharya nagarjuna university,b.v.s.p.m degree college 
andhra pradesh,guntur,acharya nagarjuna university,career degree college 
